name,formula,category,subcategory,density,thermal_conductivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,thermal_expansion,electrical_resistivity,notes,source,mp_material_id,fracture_toughness,weibull_modulus
RbVF3,RbVF3,Ceramic,Mixed,4.54,,,,94.4163080710392,,,,JVASP-22587,JARVIS dft_3d (scraped),,,
Sr2Ti2As2OF2,Sr2Ti2As2OF2,Ceramic,Oxide,4.921,,,,,,,,JVASP-89957,JARVIS dft_3d (scraped),,,
NiN6Cl2,NiN6Cl2,Ceramic,Nitride,3.069,,,,,,,,JVASP-90428,JARVIS dft_3d (scraped),,,
MnOF,MnOF,Ceramic,Oxide,4.462,,,,,,,,JVASP-48091,JARVIS dft_3d (scraped),,,
TiCrAgS4,TiCrAgS4,Ceramic,Mixed,4.206,,,,,,,,JVASP-107735,JARVIS dft_3d (scraped),,,
KMoP2O8,KMoP2O8,Ceramic,Oxide,3.165,,,,,,,,JVASP-98798,JARVIS dft_3d (scraped),,,
LiO,LiO,Ceramic,Oxide,2.356,,,,,,,,JVASP-86322,JARVIS dft_3d (scraped),,,
MnCoO4,MnCoO4,Ceramic,Oxide,5.456,,,,,,,,JVASP-47529,JARVIS dft_3d (scraped),,,
Rb2MnCl6,Rb2MnCl6,Ceramic,Mixed,3.167,,,,25.48493514238855,,,,JVASP-22670,JARVIS dft_3d (scraped),,,
Ag2F5,Ag2F5,Ceramic,Mixed,5.311,,,,,,,,JVASP-97623,JARVIS dft_3d (scraped),,,
CeTiO3,CeTiO3,Ceramic,Oxide,6.466,,,,,,,,JVASP-49836,JARVIS dft_3d (scraped),,,
Te2MoWSeS,Te2MoWSeS,Ceramic,Mixed,6.082,,,,4.124076923076923,,,,JVASP-28959,JARVIS dft_3d (scraped),,,
LiSiCu2,LiSiCu2,Ceramic,Mixed,5.558,,,,,,,,JVASP-15810,JARVIS dft_3d (scraped),,,
Zn2Ga2S5,Zn2Ga2S5,Ceramic,Mixed,4.013,,,,,,,,JVASP-90114,JARVIS dft_3d (scraped),,,
SrO,SrO,Ceramic,Oxide,4.968,,,,148.43203661327234,,,,JVASP-1390,JARVIS dft_3d (scraped),,,
Li2VO2F,Li2VO2F,Ceramic,Oxide,3.848,,,,182.4044489972513,,,,JVASP-47962,JARVIS dft_3d (scraped),,,
NaVO2,NaVO2,Ceramic,Oxide,4.191,,,,197.29858368030412,,,,JVASP-1879,JARVIS dft_3d (scraped),,,
Nb3Si,Nb3Si,Ceramic,Mixed,7.381,,,,,,,,JVASP-98688,JARVIS dft_3d (scraped),,,
CSO,CSO,Ceramic,Non-Oxide,1.63,,,,,,,,JVASP-5482,JARVIS dft_3d (scraped),,,
LiNiO2,LiNiO2,Ceramic,Oxide,4.795,,,,144.70958919551688,,,,JVASP-18433,JARVIS dft_3d (scraped),,,
SnHgO3,SnHgO3,Ceramic,Oxide,9.323,,,,,,,,JVASP-97985,JARVIS dft_3d (scraped),,,
Fe2B,Fe2B,Ceramic,Boride,6.721,,,,,,,,JVASP-86154,JARVIS dft_3d (scraped),,,
HgHClO4,HgHClO4,Ceramic,Oxide,5.134,,,,,,,,JVASP-32197,JARVIS dft_3d (scraped),,,
LiFeF3,LiFeF3,Ceramic,Mixed,4.084,,,,,,,,JVASP-43739,JARVIS dft_3d (scraped),,,
K2TcCl6,K2TcCl6,Ceramic,Mixed,2.789,,,,,,,,JVASP-3828,JARVIS dft_3d (scraped),,,
