name,formula,category,subcategory,density,thermal_conductivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,thermal_expansion,electrical_resistivity,notes,source,mp_material_id,fracture_toughness,weibull_modulus
H4PbC2O6,H4PbC2O6,Ceramic,Oxide,3.976,,,,,,,,JVASP-98291,JARVIS dft_3d (scraped),,,
SmSi2Rh3,SmSi2Rh3,Ceramic,Mixed,8.66,,,,,,,,JVASP-86727,JARVIS dft_3d (scraped),,,
CeSiIr,CeSiIr,Ceramic,Mixed,9.435,,,,,,,,JVASP-98702,JARVIS dft_3d (scraped),,,
Rb2O,Rb2O,Ceramic,Oxide,4.002,,,,,,,,JVASP-43624,JARVIS dft_3d (scraped),,,
K2O,K2O,Ceramic,Oxide,2.411,,,,32.60238222412136,,,,JVASP-43427,JARVIS dft_3d (scraped),,,
PrTiO3,PrTiO3,Ceramic,Oxide,6.454,,,,,,,,JVASP-49894,JARVIS dft_3d (scraped),,,
LiCoO2,LiCoO2,Ceramic,Oxide,5.009,,,,237.1455891422896,,,,JVASP-2017,JARVIS dft_3d (scraped),,,
NiAgF3,NiAgF3,Ceramic,Mixed,5.897,,,,,,,,JVASP-36921,JARVIS dft_3d (scraped),,,
K3CrO4,K3CrO4,Ceramic,Oxide,2.632,,,,17.695222554463907,,,,JVASP-3396,JARVIS dft_3d (scraped),,,
Li6TeO6,Li6TeO6,Ceramic,Oxide,3.386,,,,,,,,JVASP-42402,JARVIS dft_3d (scraped),,,
BaAl4O7,BaAl4O7,Ceramic,Oxide,3.575,,,,,,,,JVASP-98355,JARVIS dft_3d (scraped),,,
V2CdP2O10,V2CdP2O10,Ceramic,Oxide,4.358,,,,,,,,JVASP-98801,JARVIS dft_3d (scraped),,,
Na3CuO2,Na3CuO2,Ceramic,Oxide,3.306,,,,79.53468262067557,,,,JVASP-49776,JARVIS dft_3d (scraped),,,
SrV6O11,SrV6O11,Ceramic,Oxide,4.594,,,,,,,,JVASP-98091,JARVIS dft_3d (scraped),,,
Li3TiP2O8,Li3TiP2O8,Ceramic,Oxide,3.008,,,,,,,,JVASP-50691,JARVIS dft_3d (scraped),,,
Te2Mo3S4,Te2Mo3S4,Ceramic,Mixed,5.966,,,,,,,,JVASP-28566,JARVIS dft_3d (scraped),,,
Li3Fe5O10,Li3Fe5O10,Ceramic,Oxide,4.666,,,,,,,,JVASP-47765,JARVIS dft_3d (scraped),,,
NaNdS2,NaNdS2,Ceramic,Mixed,3.986,,,,85.38522906872062,,,,JVASP-53075,JARVIS dft_3d (scraped),,,
TiF3,TiF3,Ceramic,Mixed,2.848,,,,154.18528592434166,,,,JVASP-14874,JARVIS dft_3d (scraped),,,
BaFe2S4,BaFe2S4,Ceramic,Mixed,4.357,,,,72.03888190882371,,,,JVASP-53439,JARVIS dft_3d (scraped),,,
Ba4YSi,Ba4YSi,Ceramic,Mixed,4.339,,,,,,,,JVASP-64788,JARVIS dft_3d (scraped),,,
Ho2SeO2,Ho2SeO2,Ceramic,Oxide,8.571,,,,172.3620476377862,,,,JVASP-3258,JARVIS dft_3d (scraped),,,
Li2CN2,Li2CN2,Ceramic,Nitride,1.538,,,,,,,,JVASP-97577,JARVIS dft_3d (scraped),,,
U3CuO10,U3CuO10,Ceramic,Oxide,7.45,,,,,,,,JVASP-85460,JARVIS dft_3d (scraped),,,
Sm2P3Pt6,Sm2P3Pt6,Ceramic,Mixed,13.165,,,,,,,,JVASP-97739,JARVIS dft_3d (scraped),,,
Ca3Ru2O7,Ca3Ru2O7,Ceramic,Oxide,4.908,,,,,,,,JVASP-98227,JARVIS dft_3d (scraped),,,
SiP2O7,SiP2O7,Ceramic,Non-Oxide,3.086,,,,,,,,JVASP-97338,JARVIS dft_3d (scraped),,,
Fe2OF3,Fe2OF3,Ceramic,Oxide,4.331,,,,,,,,JVASP-47963,JARVIS dft_3d (scraped),,,
NiP2W,NiP2W,Ceramic,Mixed,9.142,,,,,,,,JVASP-90715,JARVIS dft_3d (scraped),,,
SrH4N2,SrH4N2,Ceramic,Nitride,2.425,,,,,,,,JVASP-52889,JARVIS dft_3d (scraped),,,
NiS2,NiS2,Ceramic,Mixed,3.689,,,,27.162933597621407,,,,JVASP-15832,JARVIS dft_3d (scraped),,,
KAl2NiP3H4O14,KAl2NiP3H4O14,Ceramic,Oxide,2.868,,,,,,,,JVASP-98445,JARVIS dft_3d (scraped),,,
CrO3,CrO3,Ceramic,Oxide,3.538,,,,,,,,JVASP-16932,JARVIS dft_3d (scraped),,,
LuGaO3,LuGaO3,Ceramic,Oxide,8.084,,,,51.178882421420255,,,,JVASP-50108,JARVIS dft_3d (scraped),,,
TbS2,TbS2,Ceramic,Mixed,6.19,,,,,,,,JVASP-86969,JARVIS dft_3d (scraped),,,
CaMnSi,CaMnSi,Ceramic,Mixed,3.51,,,,42.71966146582993,,,,JVASP-5065,JARVIS dft_3d (scraped),,,
TiTl2F6,TiTl2F6,Ceramic,Mixed,6.492,,,,36.76292805755396,,,,JVASP-3099,JARVIS dft_3d (scraped),,,
ErH9C5N2O8,ErH9C5N2O8,Ceramic,Oxide,2.698,,,,,,,,JVASP-98616,JARVIS dft_3d (scraped),,,
Ba4PdCl,Ba4PdCl,Ceramic,Mixed,4.794,,,,,,,,JVASP-64247,JARVIS dft_3d (scraped),,,
BeTlP4,BeTlP4,Ceramic,Mixed,3.911,,,,6.367339667458433,,,,JVASP-64987,JARVIS dft_3d (scraped),,,
VOF,VOF,Ceramic,Oxide,4.302,,,,,,,,JVASP-48464,JARVIS dft_3d (scraped),,,
Mg2Ni3P,Mg2Ni3P,Ceramic,Mixed,5.447,,,,,,,,JVASP-16114,JARVIS dft_3d (scraped),,,
V2Te2O9,V2Te2O9,Ceramic,Oxide,4.874,,,,,,,,JVASP-97920,JARVIS dft_3d (scraped),,,
CaNiP2O7,CaNiP2O7,Ceramic,Oxide,3.651,,,,,,,,JVASP-98175,JARVIS dft_3d (scraped),,,
FeMoO4,FeMoO4,Ceramic,Oxide,5.0,,,,,,,,JVASP-98556,JARVIS dft_3d (scraped),,,
Li2TiFe3O8,Li2TiFe3O8,Ceramic,Oxide,4.436,,,,,,,,JVASP-42660,JARVIS dft_3d (scraped),,,
ScPS4,ScPS4,Ceramic,Mixed,2.561,,,,44.048060684699074,,,,JVASP-4510,JARVIS dft_3d (scraped),,,
VBO4,VBO4,Ceramic,Oxide,2.485,,,,,,,,JVASP-44065,JARVIS dft_3d (scraped),,,
Li4TiS4,Li4TiS4,Ceramic,Mixed,1.868,,,,39.91676267281107,,,,JVASP-90534,JARVIS dft_3d (scraped),,,
KNdO2,KNdO2,Ceramic,Oxide,5.02,,,,121.28978347204476,,,,JVASP-50936,JARVIS dft_3d (scraped),,,
LiVF3,LiVF3,Ceramic,Mixed,3.476,,,,,,,,JVASP-48750,JARVIS dft_3d (scraped),,,
KTmO2,KTmO2,Ceramic,Oxide,6.436,,,,155.20885590582378,,,,JVASP-50811,JARVIS dft_3d (scraped),,,
BaNdCo2O5,BaNdCo2O5,Ceramic,Oxide,6.911,,,,,,,,JVASP-90337,JARVIS dft_3d (scraped),,,
LiV2F7,LiV2F7,Ceramic,Mixed,2.964,,,,,,,,JVASP-43524,JARVIS dft_3d (scraped),,,
Li4Ti3V5O16,Li4Ti3V5O16,Ceramic,Oxide,4.017,,,,,,,,JVASP-43844,JARVIS dft_3d (scraped),,,
MgBe2N2,MgBe2N2,Ceramic,Nitride,3.038,,,,404.0594022780498,,,,JVASP-3177,JARVIS dft_3d (scraped),,,
SiPd,SiPd,Ceramic,Mixed,5.569,,,,,,,,JVASP-91657,JARVIS dft_3d (scraped),,,
EuSnP,EuSnP,Ceramic,Mixed,6.588,,,,,,,,JVASP-87913,JARVIS dft_3d (scraped),,,
BaMg2V2O8,BaMg2V2O8,Ceramic,Oxide,4.156,,,,,,,,JVASP-89041,JARVIS dft_3d (scraped),,,
FeSbO4,FeSbO4,Ceramic,Oxide,6.021,,,,,,,,JVASP-46861,JARVIS dft_3d (scraped),,,
Ba3In2P4,Ba3In2P4,Ceramic,Mixed,4.607,,,,,,,,JVASP-88546,JARVIS dft_3d (scraped),,,
NaPN2,NaPN2,Ceramic,Nitride,3.125,,,,233.6186295532378,,,,JVASP-3117,JARVIS dft_3d (scraped),,,
Ni5O4,Ni5O4,Ceramic,Oxide,6.345,,,,,,,,JVASP-90118,JARVIS dft_3d (scraped),,,
AlFePO5,AlFePO5,Ceramic,Oxide,3.157,,,,,,,,JVASP-97389,JARVIS dft_3d (scraped),,,
SiHgP2,SiHgP2,Ceramic,Mixed,5.544,,,,106.61635015831624,,,,JVASP-91567,JARVIS dft_3d (scraped),,,
Sr3Pr2B4O12,Sr3Pr2B4O12,Ceramic,Oxide,4.78,,,,,,,,JVASP-97928,JARVIS dft_3d (scraped),,,
EuAgP,EuAgP,Ceramic,Mixed,7.832,,,,,,,,JVASP-88842,JARVIS dft_3d (scraped),,,
Mg5Si6,Mg5Si6,Ceramic,Mixed,2.395,,,,,,,,JVASP-98811,JARVIS dft_3d (scraped),,,
Y6N2O5,Y6N2O5,Ceramic,Oxide,5.516,,,,,,,,JVASP-42229,JARVIS dft_3d (scraped),,,
V3H4O8,V3H4O8,Ceramic,Oxide,2.652,,,,,,,,JVASP-97505,JARVIS dft_3d (scraped),,,
ZnSeO4,ZnSeO4,Ceramic,Oxide,4.639,,,,,,,,JVASP-49779,JARVIS dft_3d (scraped),,,
Sb2RuC6O6F12,Sb2RuC6O6F12,Ceramic,Oxide,3.122,,,,,,,,JVASP-98619,JARVIS dft_3d (scraped),,,
Sr2CoWO6,Sr2CoWO6,Ceramic,Oxide,6.831,,,,,,,,JVASP-86586,JARVIS dft_3d (scraped),,,
KCrPO4F,KCrPO4F,Ceramic,Oxide,3.19,,,,,,,,JVASP-97684,JARVIS dft_3d (scraped),,,
VCr2C2,VCr2C2,Ceramic,Carbide,6.4,,,,,,,,JVASP-86447,JARVIS dft_3d (scraped),,,
AgF3,AgF3,Ceramic,Mixed,5.003,,,,,,,,JVASP-97997,JARVIS dft_3d (scraped),,,
HoCo3B2,HoCo3B2,Ceramic,Boride,9.292,,,,,,,,JVASP-86505,JARVIS dft_3d (scraped),,,
Tm2ZnS4,Tm2ZnS4,Ceramic,Mixed,5.432,,,,,,,,JVASP-98361,JARVIS dft_3d (scraped),,,
Mn3Se3O10,Mn3Se3O10,Ceramic,Oxide,4.383,,,,,,,,JVASP-98504,JARVIS dft_3d (scraped),,,
CoOF,CoOF,Ceramic,Oxide,5.309,,,,,,,,JVASP-42809,JARVIS dft_3d (scraped),,,
FeS,FeS,Ceramic,Mixed,5.965,,,,,,,,JVASP-85467,JARVIS dft_3d (scraped),,,
EuSbO4,EuSbO4,Ceramic,Oxide,7.137,,,,173.68853680413744,,,,JVASP-89269,JARVIS dft_3d (scraped),,,
Li6MnF8,Li6MnF8,Ceramic,Mixed,3.039,,,,,,,,JVASP-48782,JARVIS dft_3d (scraped),,,
Zr3Al3C5,Zr3Al3C5,Ceramic,Carbide,5.099,,,,,,,,JVASP-98097,JARVIS dft_3d (scraped),,,
HfCl4O16,HfCl4O16,Ceramic,Oxide,3.244,,,,,,,,JVASP-97754,JARVIS dft_3d (scraped),,,
MgVO3,MgVO3,Ceramic,Oxide,2.911,,,,96.7955049918737,,,,JVASP-22559,JARVIS dft_3d (scraped),,,
Rb2RuO4,Rb2RuO4,Ceramic,Oxide,4.06,,,,,,,,JVASP-98238,JARVIS dft_3d (scraped),,,
TeAuCl7,TeAuCl7,Ceramic,Mixed,3.787,,,,,,,,JVASP-5503,JARVIS dft_3d (scraped),,,
Ca5P12Ir19,Ca5P12Ir19,Ceramic,Mixed,12.484,,,,,,,,JVASP-97341,JARVIS dft_3d (scraped),,,
AlPO4,AlPO4,Ceramic,Oxide,4.102,,,,475.3305312742715,,,,JVASP-85370,JARVIS dft_3d (scraped),,,
Li3VCrP4O14,Li3VCrP4O14,Ceramic,Oxide,2.921,,,,,,,,JVASP-48932,JARVIS dft_3d (scraped),,,
Ba4ScSi,Ba4ScSi,Ceramic,Mixed,4.172,,,,,,,,JVASP-64142,JARVIS dft_3d (scraped),,,
Li5MnO3F,Li5MnO3F,Ceramic,Oxide,2.588,,,,,,,,JVASP-48169,JARVIS dft_3d (scraped),,,
Zr2BIr6,Zr2BIr6,Ceramic,Boride,16.607,,,,,,,,JVASP-90174,JARVIS dft_3d (scraped),,,
KNiF3,KNiF3,Ceramic,Mixed,4.046,,,,,,,,JVASP-22620,JARVIS dft_3d (scraped),,,
MgBe2Cl,MgBe2Cl,Ceramic,Mixed,2.031,,,,30.22559004063284,,,,JVASP-65108,JARVIS dft_3d (scraped),,,
NaCaLaF6,NaCaLaF6,Ceramic,Mixed,4.362,,,,,,,,JVASP-107784,JARVIS dft_3d (scraped),,,
K2Ca4Si8O21,K2Ca4Si8O21,Ceramic,Oxide,2.739,,,,,,,,JVASP-98451,JARVIS dft_3d (scraped),,,
Na6CoO4,Na6CoO4,Ceramic,Oxide,2.968,,,,,,,,JVASP-48472,JARVIS dft_3d (scraped),,,
DyP2Pt8,DyP2Pt8,Ceramic,Mixed,16.217,,,,,,,,JVASP-86157,JARVIS dft_3d (scraped),,,
CaNi4B,CaNi4B,Ceramic,Boride,6.295,,,,,,,,JVASP-87046,JARVIS dft_3d (scraped),,,
GaS,GaS,Ceramic,Mixed,3.845,,,,63.38528743451935,,,,JVASP-22517,JARVIS dft_3d (scraped),,,
CaBePO4F,CaBePO4F,Ceramic,Oxide,3.039,,,,,,,,JVASP-97929,JARVIS dft_3d (scraped),,,
Nd7S6Cl9,Nd7S6Cl9,Ceramic,Mixed,4.469,,,,,,,,JVASP-97440,JARVIS dft_3d (scraped),,,
FeSe2NCl6,FeSe2NCl6,Ceramic,Nitride,2.863,,,,,,,,JVASP-98812,JARVIS dft_3d (scraped),,,
Cd2RuC6N6,Cd2RuC6N6,Ceramic,Nitride,3.413,,,,58.34343294252216,,,,JVASP-86104,JARVIS dft_3d (scraped),,,
LiVC2O6,LiVC2O6,Ceramic,Oxide,3.028,,,,,,,,JVASP-47967,JARVIS dft_3d (scraped),,,
TiTlPS5,TiTlPS5,Ceramic,Mixed,3.825,,,,27.343203844613537,,,,JVASP-85928,JARVIS dft_3d (scraped),,,
Li4Co3O3F4,Li4Co3O3F4,Ceramic,Oxide,4.401,,,,,,,,JVASP-48390,JARVIS dft_3d (scraped),,,
Li4Fe5O10,Li4Fe5O10,Ceramic,Oxide,4.707,,,,,,,,JVASP-47769,JARVIS dft_3d (scraped),,,
Ba4YCu3O9,Ba4YCu3O9,Ceramic,Oxide,6.001,,,,,,,,JVASP-88716,JARVIS dft_3d (scraped),,,
Mg3P2H16O16,Mg3P2H16O16,Ceramic,Oxide,2.271,,,,,,,,JVASP-29231,JARVIS dft_3d (scraped),,,
Ba4MgP,Ba4MgP,Ceramic,Mixed,4.046,,,,,,,,JVASP-64683,JARVIS dft_3d (scraped),,,
Na3YCl6,Na3YCl6,Ceramic,Mixed,2.34,,,,,,,,JVASP-53444,JARVIS dft_3d (scraped),,,
Ti2CS,Ti2CS,Ceramic,Carbide,4.62,,,,,,,,JVASP-15261,JARVIS dft_3d (scraped),,,
BaBi4Br2O6,BaBi4Br2O6,Ceramic,Oxide,7.709,,,,,,,,JVASP-86579,JARVIS dft_3d (scraped),,,
Tl3SiTe3,Tl3SiTe3,Ceramic,Mixed,7.041,,,,,,,,JVASP-98092,JARVIS dft_3d (scraped),,,
Nd3CuGeS7,Nd3CuGeS7,Ceramic,Mixed,5.016,,,,,,,,JVASP-97625,JARVIS dft_3d (scraped),,,
P,P,Ceramic,Elemental,2.571,,,,73.30350508077123,,,,JVASP-26,JARVIS dft_3d (scraped),,,
SrAlO3,SrAlO3,Ceramic,Oxide,4.83,,,,,,,,JVASP-37314,JARVIS dft_3d (scraped),,,
HgC2Se2N2,HgC2Se2N2,Ceramic,Nitride,4.509,,,,20.11892410484838,,,,JVASP-86900,JARVIS dft_3d (scraped),,,
SrRuO3,SrRuO3,Ceramic,Oxide,6.357,,,,,,,,JVASP-87209,JARVIS dft_3d (scraped),,,
CdP2H4O4,CdP2H4O4,Ceramic,Oxide,3.039,,,,27.258166610906656,,,,JVASP-29226,JARVIS dft_3d (scraped),,,
KCoO2,KCoO2,Ceramic,Oxide,3.728,,,,78.19064119891875,,,,JVASP-91849,JARVIS dft_3d (scraped),,,
BaB2S3O13,BaB2S3O13,Ceramic,Oxide,3.265,,,,,,,,JVASP-98356,JARVIS dft_3d (scraped),,,
TiSi,TiSi,Ceramic,Mixed,4.182,,,,234.32714490839123,,,,JVASP-15734,JARVIS dft_3d (scraped),,,
RbCdO3,RbCdO3,Ceramic,Oxide,4.902,,,,,,,,JVASP-38326,JARVIS dft_3d (scraped),,,
SiPdO3,SiPdO3,Ceramic,Oxide,6.537,,,,142.5220667552568,,,,JVASP-37208,JARVIS dft_3d (scraped),,,
RbInO3,RbInO3,Ceramic,Oxide,5.132,,,,87.18298804327196,,,,JVASP-38310,JARVIS dft_3d (scraped),,,
K2CrSO7,K2CrSO7,Ceramic,Oxide,2.693,,,,,,,,JVASP-98802,JARVIS dft_3d (scraped),,,
LiSi2BiO6,LiSi2BiO6,Ceramic,Oxide,5.18,,,,,,,,JVASP-50761,JARVIS dft_3d (scraped),,,
Cu3P2O8,Cu3P2O8,Ceramic,Oxide,4.342,,,,121.66125916511878,,,,JVASP-86443,JARVIS dft_3d (scraped),,,
Li2MnO2F,Li2MnO2F,Ceramic,Oxide,3.618,,,,,,,,JVASP-48923,JARVIS dft_3d (scraped),,,
CaO,CaO,Ceramic,Oxide,3.334,,,,192.4361948867298,,,,JVASP-91565,JARVIS dft_3d (scraped),,,
RbFeO3,RbFeO3,Ceramic,Oxide,5.284,,,,,,,,JVASP-38314,JARVIS dft_3d (scraped),,,
Ba4Br6O,Ba4Br6O,Ceramic,Oxide,4.427,,,,,,,,JVASP-52478,JARVIS dft_3d (scraped),,,
NbP,NbP,Ceramic,Mixed,6.302,,,,277.7300728463944,,,,JVASP-16139,JARVIS dft_3d (scraped),,,
Ba4FeCl,Ba4FeCl,Ceramic,Mixed,4.376,,,,,,,,JVASP-64048,JARVIS dft_3d (scraped),,,
RbMnF4,RbMnF4,Ceramic,Mixed,3.918,,,,,,,,JVASP-97855,JARVIS dft_3d (scraped),,,
BaTm2O4,BaTm2O4,Ceramic,Oxide,8.323,,,,,,,,JVASP-52548,JARVIS dft_3d (scraped),,,
Ag2W2O7,Ag2W2O7,Ceramic,Oxide,7.6,,,,,,,,JVASP-88010,JARVIS dft_3d (scraped),,,
ZrNiP2,ZrNiP2,Ceramic,Mixed,5.941,,,,,,,,JVASP-91747,JARVIS dft_3d (scraped),,,
LiCuF4,LiCuF4,Ceramic,Mixed,3.785,,,,18.494891405234824,,,,JVASP-52342,JARVIS dft_3d (scraped),,,
MnFeP2O8,MnFeP2O8,Ceramic,Oxide,3.612,,,,,,,,JVASP-48649,JARVIS dft_3d (scraped),,,
KCuBi2S4,KCuBi2S4,Ceramic,Mixed,5.441,,,,,,,,JVASP-97432,JARVIS dft_3d (scraped),,,
CN2O,CN2O,Ceramic,Non-Oxide,1.679,,,,,,,,JVASP-91795,JARVIS dft_3d (scraped),,,
H3AuC2NCl,H3AuC2NCl,Ceramic,Nitride,4.018,,,,18.72860543542948,,,,JVASP-86206,JARVIS dft_3d (scraped),,,
ZnCu3H6Cl2O6,ZnCu3H6Cl2O6,Ceramic,Oxide,3.595,,,,62.67422896413007,,,,JVASP-12124,JARVIS dft_3d (scraped),,,
UCr4C4,UCr4C4,Ceramic,Carbide,8.553,,,,294.4102047957059,,,,JVASP-15113,JARVIS dft_3d (scraped),,,
ScCr2AgH4O10,ScCr2AgH4O10,Ceramic,Oxide,3.452,,,,,,,,JVASP-86028,JARVIS dft_3d (scraped),,,
Mo3WSe4S4,Mo3WSe4S4,Ceramic,Mixed,4.828,,,,7.63875,,,,JVASP-28637,JARVIS dft_3d (scraped),,,
Ni6OF11,Ni6OF11,Ceramic,Oxide,4.775,,,,,,,,JVASP-42805,JARVIS dft_3d (scraped),,,
LiMnPH2O5,LiMnPH2O5,Ceramic,Oxide,2.635,,,,0.8077360248447206,,,,JVASP-42301,JARVIS dft_3d (scraped),,,
BaIrO3,BaIrO3,Ceramic,Oxide,8.896,,,,,,,,JVASP-97383,JARVIS dft_3d (scraped),,,
CuH4Pb2Cl2O4,CuH4Pb2Cl2O4,Ceramic,Oxide,5.337,,,,,,,,JVASP-85666,JARVIS dft_3d (scraped),,,
C3N4,C3N4,Ceramic,Non-Oxide,3.707,,,,874.8694600974718,,,,JVASP-85272,JARVIS dft_3d (scraped),,,
RbMnO3,RbMnO3,Ceramic,Oxide,5.461,,,,,,,,JVASP-38319,JARVIS dft_3d (scraped),,,
Li4MnF7,Li4MnF7,Ceramic,Mixed,2.498,,,,43.289097744360895,,,,JVASP-48311,JARVIS dft_3d (scraped),,,
Ba2Hf7O16,Ba2Hf7O16,Ceramic,Oxide,9.069,,,,,,,,JVASP-50399,JARVIS dft_3d (scraped),,,
Na2SnO3,Na2SnO3,Ceramic,Oxide,4.816,,,,,,,,JVASP-49950,JARVIS dft_3d (scraped),,,
VO2,VO2,Ceramic,Oxide,4.103,,,,,,,,JVASP-42541,JARVIS dft_3d (scraped),,,
BaAl3P2H2O14,BaAl3P2H2O14,Ceramic,Oxide,3.206,,,,,,,,JVASP-88522,JARVIS dft_3d (scraped),,,
Li4Mn5O10,Li4Mn5O10,Ceramic,Oxide,4.599,,,,,,,,JVASP-48233,JARVIS dft_3d (scraped),,,
CuWO4,CuWO4,Ceramic,Oxide,7.599,,,,150.40687821939588,,,,JVASP-89267,JARVIS dft_3d (scraped),,,
Sr2CoO3,Sr2CoO3,Ceramic,Oxide,5.181,,,,,,,,JVASP-85714,JARVIS dft_3d (scraped),,,
K2FeCuC6N6,K2FeCuC6N6,Ceramic,Nitride,2.368,,,,,,,,JVASP-85366,JARVIS dft_3d (scraped),,,
TlCuHCO4,TlCuHCO4,Ceramic,Oxide,5.409,,,,,,,,JVASP-98935,JARVIS dft_3d (scraped),,,
LiCoOF2,LiCoOF2,Ceramic,Oxide,4.102,,,,,,,,JVASP-42722,JARVIS dft_3d (scraped),,,
Na2BiO3,Na2BiO3,Ceramic,Oxide,5.951,,,,,,,,JVASP-42222,JARVIS dft_3d (scraped),,,
MgPbO3,MgPbO3,Ceramic,Oxide,7.212,,,,23.33765058211358,,,,JVASP-38614,JARVIS dft_3d (scraped),,,
Si2Ni6B,Si2Ni6B,Ceramic,Boride,7.406,,,,220.2449384619737,,,,JVASP-15432,JARVIS dft_3d (scraped),,,
MoW3Se4S4,MoW3Se4S4,Ceramic,Mixed,5.703,,,,,,,,JVASP-28964,JARVIS dft_3d (scraped),,,
Se,Se,Ceramic,Elemental,5.717,,,,48.69793356003138,,,,JVASP-14915,JARVIS dft_3d (scraped),,,
CaNi3P4O14,CaNi3P4O14,Ceramic,Oxide,3.846,,,,,,,,JVASP-87905,JARVIS dft_3d (scraped),,,
Ba3Ta6Si4O23,Ba3Ta6Si4O23,Ceramic,Oxide,5.971,,,,,,,,JVASP-88123,JARVIS dft_3d (scraped),,,
RbTlO3,RbTlO3,Ceramic,Oxide,6.557,,,,,,,,JVASP-38283,JARVIS dft_3d (scraped),,,
TePdO3,TePdO3,Ceramic,Oxide,6.985,,,,,,,,JVASP-37407,JARVIS dft_3d (scraped),,,
Ta2Be2O5,Ta2Be2O5,Ceramic,Oxide,9.59,,,,,,,,JVASP-37424,JARVIS dft_3d (scraped),,,
KHfO3,KHfO3,Ceramic,Oxide,6.119,,,,,,,,JVASP-36897,JARVIS dft_3d (scraped),,,
MnO3,MnO3,Ceramic,Oxide,4.418,,,,,,,,JVASP-90431,JARVIS dft_3d (scraped),,,
Rb6Si2O7,Rb6Si2O7,Ceramic,Oxide,3.944,,,,,,,,JVASP-98363,JARVIS dft_3d (scraped),,,
NbFeO4,NbFeO4,Ceramic,Oxide,4.628,,,,,,,,JVASP-43030,JARVIS dft_3d (scraped),,,
SrLiCoF6,SrLiCoF6,Ceramic,Mixed,3.845,,,,,,,,JVASP-88159,JARVIS dft_3d (scraped),,,
VClO,VClO,Ceramic,Oxide,3.46,,,,2.722888044431453,,,,JVASP-3753,JARVIS dft_3d (scraped),,,
Fe3O4,Fe3O4,Ceramic,Oxide,5.694,,,,,,,,JVASP-87334,JARVIS dft_3d (scraped),,,
Nd4Ge3S12,Nd4Ge3S12,Ceramic,Mixed,4.509,,,,,,,,JVASP-97633,JARVIS dft_3d (scraped),,,
PuTaC2,PuTaC2,Ceramic,Carbide,14.244,,,,,,,,JVASP-107743,JARVIS dft_3d (scraped),,,
BaH4O6,BaH4O6,Ceramic,Oxide,3.322,,,,,,,,JVASP-97506,JARVIS dft_3d (scraped),,,
SmZrF7,SmZrF7,Ceramic,Mixed,4.382,,,,,,,,JVASP-97342,JARVIS dft_3d (scraped),,,
CuO,CuO,Ceramic,Oxide,4.039,,,,1.1613628620102214,,,,JVASP-91612,JARVIS dft_3d (scraped),,,
RbFeS2,RbFeS2,Ceramic,Mixed,3.5,,,,37.13987232807816,,,,JVASP-91750,JARVIS dft_3d (scraped),,,
Ba4CoCl,Ba4CoCl,Ceramic,Mixed,4.461,,,,,,,,JVASP-64803,JARVIS dft_3d (scraped),,,
Rb2PtCl6,Rb2PtCl6,Ceramic,Mixed,3.988,,,,26.92766132588564,,,,JVASP-3657,JARVIS dft_3d (scraped),,,
BaH2C2O4,BaH2C2O4,Ceramic,Oxide,3.265,,,,,,,,JVASP-98620,JARVIS dft_3d (scraped),,,
TmSi2Ni2,TmSi2Ni2,Ceramic,Mixed,7.676,,,,,,,,JVASP-15389,JARVIS dft_3d (scraped),,,
HfReSi,HfReSi,Ceramic,Mixed,13.619,,,,,,,,JVASP-89977,JARVIS dft_3d (scraped),,,
KPSe6,KPSe6,Ceramic,Mixed,4.047,,,,,,,,JVASP-97998,JARVIS dft_3d (scraped),,,
ZrUN2,ZrUN2,Ceramic,Nitride,11.188,,,,323.94948494885887,,,,JVASP-91852,JARVIS dft_3d (scraped),,,
TlNO2,TlNO2,Ceramic,Oxide,6.138,,,,26.40964689749743,,,,JVASP-53082,JARVIS dft_3d (scraped),,,
YbCO3,YbCO3,Ceramic,Oxide,6.511,,,,,,,,JVASP-50695,JARVIS dft_3d (scraped),,,
LiMnF4,LiMnF4,Ceramic,Mixed,3.591,,,,,,,,JVASP-48653,JARVIS dft_3d (scraped),,,
Tm4B6O15,Tm4B6O15,Ceramic,Oxide,4.585,,,,,,,,JVASP-50404,JARVIS dft_3d (scraped),,,
Li2Co4O7F,Li2Co4O7F,Ceramic,Oxide,4.853,,,,,,,,JVASP-42308,JARVIS dft_3d (scraped),,,
Ca2AlH10ClO8,Ca2AlH10ClO8,Ceramic,Oxide,1.794,,,,,,,,JVASP-97930,JARVIS dft_3d (scraped),,,
Nb5Si3,Nb5Si3,Ceramic,Mixed,6.951,,,,,,,,JVASP-98190,JARVIS dft_3d (scraped),,,
Ce2Si2O7,Ce2Si2O7,Ceramic,Oxide,4.798,,,,,,,,JVASP-97755,JARVIS dft_3d (scraped),,,
LiAlB14,LiAlB14,Ceramic,Boride,2.498,,,,,,,,JVASP-88373,JARVIS dft_3d (scraped),,,
K2NdP5O15,K2NdP5O15,Ceramic,Oxide,3.179,,,,,,,,JVASP-97442,JARVIS dft_3d (scraped),,,
V6O11F,V6O11F,Ceramic,Oxide,4.559,,,,,,,,JVASP-42544,JARVIS dft_3d (scraped),,,
NaGe2P3O12,NaGe2P3O12,Ceramic,Oxide,3.642,,,,,,,,JVASP-98239,JARVIS dft_3d (scraped),,,
